,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state,policy_iteration
0,130.4287046233813,520513,253,2036,1019,13.999999999999977,10.933663366336624,10.299999999999992,2,8
0,130.7597426056862,521853,254,1340,664,8.299999999999999,10.931683168316823,10.299999999999992,2,8
0,131.21066335042318,523469,255,1616,792,15.099999999999973,10.984158415841573,10.399999999999988,2,8
0,131.55550436178842,524866,256,1397,688,9.899999999999997,10.952475247524742,10.299999999999992,2,8
0,132.44088714122773,527970,257,3104,1664,10.899999999999977,10.964356435643552,10.399999999999988,0,8
0,133.14544102748235,530785,258,2815,1384,18.09999999999998,11.036633663366326,10.399999999999988,2,8
0,133.8264176607132,533310,259,2525,1261,13.999999999999975,11.093069306930685,10.499999999999993,2,8
0,134.65800870656966,536169,260,2859,1396,19.20000000000001,11.185148514851477,10.599999999999987,0,8
0,135.41969438791276,539145,261,2976,1465,12.899999999999983,11.197029702970287,10.599999999999987,2,8
0,135.76234974861146,540370,262,1225,601,9.39999999999999,11.214851485148506,10.599999999999987,2,8
0,136.18128608465196,542108,263,1738,865,9.599999999999994,11.190099009900981,10.499999999999993,2,8
0,136.52296420733134,543291,264,1183,593,8.199999999999994,11.148514851485139,10.399999999999988,2,8
0,137.44918125867844,546809,265,3518,1790,16.499999999999964,11.262376237623755,10.499999999999993,1,8
0,137.95990240573883,548589,266,1780,885,11.299999999999985,11.252475247524744,10.499999999999993,2,8
0,138.41951874891916,550448,267,1859,925,11.59999999999999,11.236633663366325,10.499999999999993,2,8
0,139.39653234879177,553567,268,3119,1574,8.799999999999985,11.282178217821771,10.499999999999993,0,8
0,139.9405212044716,555674,269,2107,1052,12.399999999999977,11.314851485148504,10.599999999999987,2,8
0,140.22410378456115,556840,270,1166,578,7.999999999999999,11.295049504950484,10.599999999999987,2,8
0,140.83262861569722,559074,271,2234,1105,4.000000000000002,11.207920792079195,10.499999999999993,0,9
0,141.328755402565,561021,272,1947,957,14.599999999999978,11.265346534653453,10.599999999999987,2,9
0,141.88956321080525,563375,273,2354,1174,16.199999999999967,11.251485148514842,10.599999999999987,2,9
0,142.5302942276001,565594,274,2219,1100,18.399999999999984,11.304950495049496,10.599999999999987,2,9
0,143.17224539915722,567954,275,2360,1174,13.799999999999981,11.222772277227714,10.599999999999987,2,9
0,143.97526266972224,571553,276,3599,2164,17.299999999999972,11.258415841584151,10.599999999999987,1,9
0,144.7881924390793,574558,277,3005,1480,18.799999999999972,11.242574257425733,10.599999999999987,2,9
0,145.20570133924485,576254,278,1696,833,10.99999999999999,11.249504950495039,10.599999999999989,2,9
0,145.90552822351455,578587,279,2333,1160,14.79999999999997,11.308910891089099,10.599999999999993,2,9
0,146.29992568890253,580229,280,1642,801,9.999999999999991,11.207920792079197,10.599999999999989,2,9
0,147.16411915620168,583031,281,2802,1376,15.799999999999963,11.271287128712858,10.599999999999993,0,9
0,147.50588779052097,584250,282,1219,610,7.399999999999997,11.246534653465336,10.599999999999993,2,9
0,147.92893610795338,585991,283,1741,871,10.599999999999987,11.233663366336623,10.599999999999989,2,9
